id,CategoryKey,DisplayName,InternalName,BaseItem,Variant,QualityTier,PrimaryConsumer,Trade,Unit,MarketValue_cp,MaterialCost_cp,LaborCost_cp,Overhead_cp,EfficiencyFactor_MC,EfficiencyFactor_LC,WasteRecovery_pct,MC_eff,LC_eff,Duty,DutyPct,DutyFree,EffectiveTaxPct,TaxAmount_cp,NetProfit_cp,Regions,Tags,ImportReliant,ImportTier,ExportFriendly,SourcingNotes,Margin_pct,DisplayPrice,DisplayPrice_Tidy,SuggestedPrice_cp,SuggestedDisplayPrice,Perishable,Bulky,Fragile,ValueDense,CorridorFriendly,RegionalMult_InRegion,RegionalMult_OutOfRegion,Preview_InRegion_cp,Preview_OutOfRegion_cp,Preview_InRegion_Display,Preview_OutOfRegion_Display
1,FoodDrink,Coarse Hearth Bread,"Bread, loaf (1 lb) (Low Inn)","Bread, loaf (1 lb)",Low Inn,Staple,Commoner,,loaf,0.679,0.297,0.255,0.025,0.1,0.1,0.02,0.261,0.23,No,0,No,0.04,0.027,0.136,riverlands;farmland;urban,,No,0,Yes,,0.200294551,6st 8ci,6st 8ci,0.68,6st 8ci,Yes,No,No,No,Yes,0.95,1.03,0.645,0.699,6st 4ci,7st
2,FoodDrink,Country Loaf,"Bread, loaf (1 lb) (Common)","Bread, loaf (1 lb)",Common,Common,Commoner,,loaf,0.811,0.35,0.3,0.03,0.1,0.1,0.02,0.308,0.27,No,0,No,0.05,0.041,0.162,riverlands;farmland;urban,,No,0,Yes,,0.199753391,8st 1ci,8st 1ci,0.81,8st 1ci,Yes,No,No,No,Yes,0.95,1.03,0.77,0.835,7st 7ci,8st 4ci
3,FoodDrink,Artisan Wheat Boule,"Bread, loaf (1 lb) (Fine)","Bread, loaf (1 lb)",Fine,Fine,Artisan,,loaf,1.097,0.455,0.39,0.039,0.1,0.1,0.02,0.4,0.351,No,0,No,0.08,0.088,0.219,riverlands;farmland;urban,,No,0,Yes,,0.199635369,1cp 1st,1cp 1st,1.1,1cp 1st,Yes,No,No,No,Yes,0.95,1.03,1.042,1.13,1cp 4ci,1cp 1st 3ci
4,FoodDrink,Golden Feast Loaf,"Bread, loaf (1 lb) (High Table)","Bread, loaf (1 lb)",High Table,Luxury,Noble,,loaf,1.823,0.63,0.54,0.054,0.1,0.1,0.02,0.554,0.486,No,0,No,0.35,0.638,0.091,riverlands;farmland;urban,,No,0,Yes,,0.049917718,1cp 8st 2ci,1cp 8st 2ci,1.8,1cp 8st,Yes,No,No,Yes,Yes,0.95,0.98,1.732,1.787,1cp 7st 3ci,1cp 7st 9ci
5,FoodDrink,Coarse Hearth Bread,Stew & bread (Low Inn),Stew & bread,Low Inn,Staple,Commoner,,plate,2.039,0.892,0.765,0.076,0.1,0.1,0.02,0.785,0.689,No,0,No,0.04,0.082,0.407,riverlands;farmland;urban,,No,0,Yes,,0.199607651,2cp 4ci,2cp 4ci,2,2cp,Yes,No,No,No,Yes,0.95,1.03,1.937,2.1,1cp 9st 4ci,2cp 1st
6,FoodDrink,Country Loaf,Stew & bread (Common),Stew & bread,Common,Common,Commoner,,plate,2.432,1.05,0.9,0.09,0.1,0.1,0.02,0.924,0.81,No,0,No,0.05,0.122,0.486,riverlands;farmland;urban,,No,0,Yes,,0.199835526,2cp 4st 3ci,2cp 4st 3ci,2.4,2cp 4st,Yes,No,No,No,Yes,0.95,1.03,2.31,2.505,2cp 3st 1ci,2cp 5st
7,FoodDrink,Artisan Wheat Boule,Stew & bread (Fine),Stew & bread,Fine,Fine,Artisan,,plate,3.293,1.365,1.17,0.117,0.1,0.1,0.02,1.201,1.053,No,0,No,0.08,0.263,0.659,riverlands;farmland;urban,,No,0,Yes,,0.20012147,3cp 2st 9ci,3cp 2st 9ci,3.3,3cp 3st,Yes,No,No,No,Yes,0.95,1.03,3.128,3.392,3cp 1st 3ci,3cp 3st 9ci
8,FoodDrink,Golden Feast Loaf,Stew & bread (High Table),Stew & bread,High Table,Luxury,Noble,,plate,5.472,1.89,1.62,0.162,0.1,0.1,0.02,1.663,1.458,No,0,No,0.35,1.915,0.274,riverlands;farmland;urban,,No,0,Yes,,0.050073099,5cp 4st 7ci,5cp 4st 7ci,5.5,5cp 5st,Yes,No,No,Yes,Yes,0.95,0.98,5.198,5.363,5cp 2st,5cp 3st 6ci
9,FoodDrink,Small-Batch Bitter Ale,"Ale, tankard (Low Inn)","Ale, tankard",Low Inn,Staple,Commoner,,tankard,1.361,0.595,0.51,0.051,0.1,0.1,0.02,0.524,0.459,No,0,No,0.04,0.054,0.273,riverlands;farmland;urban,,No,0,Yes,,0.200587803,1cp 3st 6ci,1cp 3st 6ci,1.4,1cp 4st,Yes,No,No,No,Yes,0.95,1.03,1.293,1.402,1cp 2st 9ci,1cp 4st
10,FoodDrink,Amber Tavern Ale,"Ale, tankard (Common)","Ale, tankard",Common,Common,Commoner,,tankard,1.621,0.7,0.6,0.06,0.1,0.1,0.02,0.616,0.54,No,0,No,0.05,0.081,0.324,riverlands;farmland;urban,,No,0,Yes,,0.199876619,1cp 6st 2ci,1cp 6st 2ci,1.6,1cp 6st,Yes,No,No,No,Yes,0.95,1.03,1.54,1.67,1cp 5st 4ci,1cp 6st 7ci
